y_ord,interface_cond,dl_ord,prob,SE,df,asymp.LCL,asymp.UCL,lower.CL,upper.CL,p.value.raw,p.value
12,chatbot,high,0.016909529183966307,0.00805323319715004,Inf,0.0011254821584498823,0.03269357620948273,0.0011254821584498823,0.03269357620948273,NA,NA
13,chatbot,high,0.01421866512786335,0.007865328416952772,Inf,-0.0011970952959435167,0.029634425551670215,-0.0011970952959435167,0.029634425551670215,NA,NA
14,chatbot,high,0.003967121378983696,0.0027483094633875176,Inf,-0.0014194661876264399,0.009353708945593831,-0.0014194661876264399,0.009353708945593831,NA,NA
15,chatbot,high,0.0023789804514984803,0.0019093137011166252,Inf,-0.0013632056378789776,0.006121166540875939,-0.0013632056378789776,0.006121166540875939,NA,NA
16,chatbot,high,4.919624240489334e-4,5.017054386952794e-4,Inf,-4.91362166641682e-4,0.0014752870147395488,-4.91362166641682e-4,0.0014752870147395488,NA,NA
17,chatbot,high,1.0129728527942528e-4,1.286118981065531e-4,Inf,-1.507774029927539e-4,3.5337197355160446e-4,-1.507774029927539e-4,3.5337197355160446e-4,NA,NA
18,chatbot,high,4.304160644875987e-5,6.371232075387759e-5,Inf,-8.1832247600304e-5,1.6791546049782375e-4,-8.1832247600304e-5,1.6791546049782375e-4,NA,NA
19,chatbot,high,2.9851781532252986e-6,6.862142060494203e-6,Inf,-1.0464373142140813e-5,1.643472944859141e-5,-1.0464373142140813e-5,1.643472944859141e-5,NA,NA
1,dashboard,high,0.005358255369057577,0.004344114886070822,Inf,-0.0031560533523455527,0.013872564090460707,-0.0031560533523455527,0.013872564090460707,NA,NA
2,dashboard,high,0.031111103956381378,0.01635811564529386,Inf,-9.502135633357653e-4,0.06317242147609853,-9.502135633357653e-4,0.06317242147609853,NA,NA
3,dashboard,high,0.056296722442583075,0.021480954167045516,Inf,0.014194825921618276,0.09839861896354787,0.014194825921618276,0.09839861896354787,NA,NA
4,dashboard,high,0.08129144375952176,0.023116302586373937,Inf,0.035984323234498745,0.12659856428454477,0.035984323234498745,0.12659856428454477,NA,NA
5,dashboard,high,0.10160690299663727,0.022068689823948627,Inf,0.058353065755712384,0.14486074023756215,0.058353065755712384,0.14486074023756215,NA,NA
6,dashboard,high,0.08175484182611605,0.017061640847751088,Inf,0.04831464024736649,0.11519504340486561,0.04831464024736649,0.11519504340486561,NA,NA
7,dashboard,high,0.07982118812615505,0.0159362970042419,Inf,0.04858661995090737,0.11105575630140271,0.04858661995090737,0.11105575630140271,NA,NA
8,dashboard,high,0.07114716222144583,0.014949604182629708,Inf,0.04184647644036226,0.1004478480025294,0.04184647644036226,0.1004478480025294,NA,NA
